,H,diameter,albedo,rot_per,diameter_sigma,epoch,e,a,q,i,om,w,ma,ad,n,tp,per,moid,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms,neo_flag,pha_flag,class_var
149,8.23,119.128,0.052,8.1347,1.869,2458600.5,0.1231662971673013,2.983200869369496,2.615771064582981,2.201282984766133,206.145224012155,153.3872717261424,327.3277801007356,3.35063067415601,0.1912847415619716,2458771.304109269,1882.011064031309,1.61167,2.09949,3.246,3.1542e-08,1.1343e-08,9.4402e-08,3.9298e-06,9.3832e-05,9.5477e-05,1.9522e-05,1.2741e-08,1.091e-09,0.00010256,1.0734e-05,0.4852,0,0,C
150,9.2,39.037,0.233,9.864,0.512,2458600.5,0.03327257847552075,2.591515990670911,2.505289571500747,6.434814937931208,38.86607092374733,131.8396881848915,17.14918217160563,2.677742409841076,0.2362507709863655,2458527.911106004,1523.804550973407,1.51343,2.28649,3.41,4.1083e-08,9.2501e-09,1.0717e-07,4.9352e-06,3.9407e-05,8.4926e-05,7.575e-05,9.5579e-09,1.2649e-09,0.00032055,8.1586e-06,0.47369,0,0,S
151,8.33,58.964,0.257,6.246,0.51,2458600.5,0.0807799956763806,3.137107556876515,2.88369202199569,12.12480674386667,39.89780575425006,59.37311643664455,230.0279352845124,3.390523091757341,0.1773821687856499,2459333.2233938184,2029.516283764842,1.92246,1.85578,3.172,4.4243e-08,1.7871e-08,1.4005e-07,6.0607e-06,2.131e-05,4.1663e-05,3.5144e-05,1.9315e-08,1.5157e-09,0.00019912,1.7342e-05,0.44704,0,0,S
152,7.48,170.63,0.0618,5.957,3.3,2458600.5,0.1402350835562287,3.979617347430314,3.421535376191607,7.826109288377165,228.1465921300892,38.88492289612653,175.509894310026,4.537699318669022,0.1241486784574406,2457186.792689614,2899.748949993146,2.41041,0.572075,3.023,4.3671e-08,3.0061e-08,1.72e-07,4.9482e-06,3.5549e-05,3.9557e-05,1.9309e-05,3.4276e-08,1.4067e-09,0.00014981,3.2856e-05,0.48451,0,0,X
153,7.58,192.611,0.044,25.224,2.189,2458600.5,0.07700936019769544,3.196321085672286,2.95017444387826,20.97197141967293,36.73368580707339,160.2812387751246,296.8430905137901,3.442467727466313,0.1724759216040577,2458966.678124453,2087.247870032721,1.952,1.53275,3.087,5.1778e-08,1.9256e-08,1.6504e-07,6.1188e-06,1.3147e-05,3.7509e-05,3.727e-05,2.0738e-08,1.5586e-09,0.00021724,1.8861e-05,0.46222,0,0,C
155,8.64,143.346,0.03,22.37,0.903,2458600.5,0.2272117397824101,2.727097983839518,2.107469306374238,9.78185118961683,241.8287632867676,338.290260609049,121.7967203448847,3.346726661304797,0.2188532299054635,2458043.9776201495,1644.938026071201,1.10239,1.66827,3.298,3.4202e-08,9.3404e-09,9.4032e-08,4.1086e-06,2.431e-05,2.5876e-05,9.5307e-06,1.1463e-08,1.1244e-09,4.2766e-05,8.4509e-06,0.46409,0,0,C
157,9.27,39.025,0.213,14.218,0.462,2458600.5,0.05157967988723503,2.870949346259792,2.722866698007245,1.005095021586543,277.6990635816984,145.2642875636888,215.3001356677306,3.019031994512339,0.2026122870417091,2459314.6712205363,1776.792539368017,1.73552,2.14885,3.296,4.0743e-08,1.2735e-08,1.144e-07,4.2311e-06,0.00026539,0.00026931,4.5296e-05,1.3392e-08,1.3481e-09,0.00022387,1.1822e-05,0.49383,0,0,S
158,8.12,125.236,0.064,24.476,1.191,2458600.5,0.1070181221069182,3.1026885868882,2.770644680836857,6.130813661431224,134.1144258791897,333.2562652523332,34.40173235916222,3.434732492939543,0.1803419626070243,2458409.7416658783,1996.207620211281,1.78927,1.67588,3.204,3.7118e-08,1.495e-08,1.2055e-07,3.4197e-06,3.8108e-05,4.2076e-05,1.9585e-05,1.655e-08,1.3034e-09,0.00010819,1.4428e-05,0.47155,0,0,C
159,9.08,81.24,0.0625,11.033,2.1,2458600.5,0.06697517238514394,2.727733588512874,2.545043161201477,3.823881513744408,8.599973437903397,52.36200099625608,3.820280821775945,2.910424015824271,0.218776740013296,2458583.037993657,1645.513138088269,1.55919,2.29841,3.349,3.8396e-08,9.5351e-09,1.0632e-07,4.7582e-06,5.9287e-05,6.8427e-05,3.4649e-05,1.0174e-08,1.1471e-09,0.00015837,8.6281e-06,0.50376,0,0,C
160,9.15,40.992,0.23,7.28,0.694,2458600.5,0.137738109805147,2.379041599765228,2.051356906665752,9.059606514875012,18.60152632742646,294.8869105575774,257.4836339995818,2.706726292864703,0.268596914660676,2458982.1736544794,1340.29834428588,1.05686,2.60197,3.51,3.534e-08,7.5273e-09,8.6336e-08,4.4911e-06,2.3797e-05,3.0495e-05,2.1366e-05,8.5641e-09,1.2748e-09,8.0318e-05,6.3611e-06,0.50351,0,0,X
161,8.83,97.021,0.051,11.8686,0.493,2458600.5,0.1807685827536041,3.016771817015587,2.471434251162664,6.091204328132353,35.48889175806602,116.0382621474302,128.1571212646123,3.56210938286851,0.1881006865147923,2457919.178078006,1913.868612976537,1.48985,1.46431,3.214,3.404e-08,1.0892e-08,1.031e-07,4.2845e-06,3.7015e-05,3.9072e-05,1.2194e-05,1.2862e-08,1.0187e-09,6.4335e-05,1.0365e-05,0.43226,0,0,C
162,9.47,69.389,0.027,16.136,0.444,2458600.5,0.191409918005275,2.367336248964692,1.914204611659445,4.814140343283984,160.0618039435782,298.6514915196701,190.2012559843762,2.820467886269939,0.2705915009830797,2459228.0095241303,1330.418725983973,0.936616,2.3547,3.517,3.005e-08,5.4815e-09,7.0181e-08,3.5999e-06,3.2898e-05,3.4059e-05,9.301e-06,6.5307e-09,9.3982e-10,3.4683e-05,4.6208e-06,0.45872,0,0,C
163,8.89,100.254,0.049,13.66,0.937,2458600.5,0.3464374615861796,2.632268987673999,1.720352401372196,24.47402099644885,76.81965645699601,284.0578951058232,90.22224187998846,3.544185573975802,0.2307855819011422,2458209.5646515405,1559.889474179576,0.880177,2.4413,3.191,4.0539e-08,1.2383e-08,1.0959e-07,4.789e-06,1.1141e-05,1.2981e-05,1.0732e-05,1.6672e-08,1.6285e-09,4.4905e-05,1.1007e-05,0.46039,0,0,X
164,7.65,180.083,0.047,7.226,2.064,2458600.5,0.08555341496927114,3.126195860824136,2.858739129067831,11.22600484918716,302.4972029490991,346.6724367986964,305.0287764374383,3.393652592580441,0.178311682660558,2458908.787279568,2018.936699090614,1.84314,1.81688,3.179,4.1153e-08,1.384e-08,1.3064e-07,4.7764e-06,1.8293e-05,2.9689e-05,2.5478e-05,1.5024e-08,1.1841e-09,0.00014412,1.3407e-05,0.50898,0,0,C
165,9.89,52.393,0.046,4.715,0.196,2458600.5,0.2118194441436099,2.684670147046223,2.116004808789949,12.02935237655872,128.9127086715471,264.4042054785986,99.13990422447412,3.253335485302497,0.2240617241557468,2458158.0330655067,1606.700124068319,1.16106,2.32152,3.311,4.1908e-08,1.0391e-08,1.1516e-07,4.148e-06,2.2314e-05,2.4151e-05,1.0721e-05,1.2592e-08,1.3008e-09,4.6981e-05,9.3278e-06,0.48022,0,0,X
166,9.2,39.935,0.223,13.07,0.264,2458600.5,0.03735440947503767,2.852400708314935,2.745850964269652,2.212657367184141,166.2140697614984,132.8562022190725,242.2601481244697,2.958950452360219,0.2045918222262459,2459175.9865986058,1759.601122286782,1.73003,2.11166,3.303,4.102e-08,1.1409e-08,1.1602e-07,4.1296e-06,0.00011492,0.00012753,5.5887e-05,1.1835e-08,1.2275e-09,0.00027372,1.0557e-05,0.49527,0,0,S
167,7.94,145.366,0.056,47.009,3.219,2458600.5,0.07363511818486236,3.372311784738844,3.123991207913395,4.670180288897428,205.9602013265337,175.3246849054157,329.0819785765981,3.620632361564293,0.1591521440175038,2458794.7670745295,2261.986492374282,2.12595,1.81827,3.143,4.1667e-08,1.7886e-08,1.4658e-07,4.5914e-06,5.5413e-05,6.3557e-05,3.2213e-05,1.9203e-08,1.2662e-09,0.00020281,1.7996e-05,0.47024,0,0,C
168,9.56,37.517,0.188,14.537,0.706,2458600.5,0.1308888323116728,2.358009450619121,2.049372347047695,5.499465345485605,354.7517761089278,335.0260962834023,161.6692109687079,2.666646554190547,0.2721985214597138,2458006.5613918775,1322.5641273488,1.0393,2.66109,3.535,4.1287e-08,6.8305e-09,9.7762e-08,4.8309e-06,4.0805e-05,4.3814e-05,1.6787e-05,7.7245e-09,1.1827e-09,6.1094e-05,5.7466e-06,0.48581,0,0,S
169,9.39,33.136,0.282,13.12,0.831,2458600.5,0.06362076280416913,2.553786535825508,2.391312688377273,14.37737984123469,301.2973501317531,158.488734277822,330.3846400813516,2.716260383273744,0.241505588284073,2458723.1280523324,1490.648736361939,1.41245,2.39572,3.392,4.0321e-08,8.9555e-09,1.0391e-07,4.704e-06,2.1765e-05,5.1243e-05,4.6003e-05,9.5252e-09,1.2703e-09,0.00019048,7.841e-06,0.44248,0,0,S
170,8.31,130.808,0.076,6.66535,1.483,2458600.5,0.132306736379274,3.128918857610518,2.714941815164504,2.546755006630928,100.4774476302362,56.12841198390618,189.8945077806846,3.542895900056533,0.1780789649834361,2459555.7250724,2021.57509188963,1.72612,1.44729,3.199,3.5504e-08,1.144e-08,1.1028e-07,3.6869e-06,9.0298e-05,9.1384e-05,1.4326e-05,1.2954e-08,9.7668e-10,8.1293e-05,1.1087e-05,0.45661,0,0,C
171,8.79,62.43,0.1382,27.417,1.2,2458600.5,0.1140650168797073,2.380018226963403,2.108541407730812,10.0185873058662,331.9242667973218,359.6794047225001,83.4434933564822,2.651495046195994,0.2684316057543608,2458289.6443050383,1341.123743563314,1.09701,2.68234,3.51,4.3411e-08,6.6095e-09,1.0353e-07,5.0315e-06,2.5966e-05,3.3278e-05,2.1094e-05,7.3634e-09,1.1182e-09,7.8435e-05,5.5866e-06,0.48545,0,0,L
172,7.66,125.821,0.096,6.15,1.489,2458600.5,0.208698762810671,2.74325301777735,2.170739506890577,14.19554543685832,148.1742241087237,228.8737559884359,34.07020529136891,3.315766528664123,0.2169228368930852,2458443.4385961415,1659.576304441534,1.19637,2.22048,3.274,3.0485e-08,8.616e-09,8.2519e-08,4.2579e-06,1.159e-05,1.6155e-05,1.2908e-05,1.0414e-08,1.022e-09,5.9128e-05,7.8186e-06,0.48833,0,0,X
173,8.48,64.849,0.169,5.744,0.392,2458600.5,0.1411807795439538,2.862284598147928,2.458185027304751,12.12087113219413,327.6684732740927,289.3818868328374,174.0155519821182,3.266384168991105,0.2035330091087588,2457745.5254052444,1768.754864758238,1.47493,2.00396,3.254,4.075e-08,1.2357e-08,1.1597e-07,5.0069e-06,2.2108e-05,2.8621e-05,1.8878e-05,1.4101e-08,1.318e-09,9.2216e-05,1.1454e-05,0.49067,0,0,S
174,8.31,94.532,0.094,8.324,1.084,2458600.5,0.2330646335962458,3.182769241861378,2.440978294685555,3.218736892574477,21.33735342531318,320.2304148795324,209.4154953703768,3.924560189037201,0.1735786655665449,2459468.02887596,2073.987599944918,1.43308,1.48707,3.154,3.8685e-08,1.135e-08,1.2437e-07,4.3496e-06,8.825e-05,8.8721e-05,1.1833e-05,1.3996e-08,9.2852e-10,7.0836e-05,1.1094e-05,0.456,0,0,C
175,8.2,106.976,0.106,11.2877,1.08,2458600.5,0.1705969214409488,3.181049527141613,2.638372270860068,22.67339483786981,200.49730428862,188.5533962456165,338.3683124007719,3.723726783423158,0.1737194427490488,2458725.0208207956,2072.306900731014,1.64352,1.73156,3.058,3.2467e-08,1.2133e-08,1.048e-07,3.5372e-06,1.089e-05,1.6139e-05,1.3177e-05,1.4203e-08,9.939e-10,7.616e-05,1.1856e-05,0.44387,0,0,C
176,9.49,69.049,0.061,13.856,0.649,2458600.5,0.2342369564065043,2.774364876314948,2.124506091725827,1.38117457672369,347.1038201115625,38.95708957925053,255.2778927629148,3.42422366090407,0.2132842113739682,2459091.4979344574,1687.888651864546,1.12827,2.03221,3.295,3.8126e-08,1.0664e-08,1.0472e-07,4.6175e-06,0.00016454,0.00016478,1.0328e-05,1.3162e-08,1.2297e-09,4.9991e-05,9.7319e-06,0.48134,0,0,C
177,9.4,35.81,0.2438,12.323,0.9,2458600.5,0.04327073593781813,2.460885300651134,2.354400982633401,1.893837033590996,51.10413304078879,211.676460494521,16.00584062406176,2.567369618668868,0.2553095238552956,2458537.8080941816,1410.053156513037,1.33862,2.44233,3.488,3.963e-08,8.5805e-09,9.8726e-08,4.5943e-06,0.00013165,0.00014381,5.9857e-05,8.9518e-09,1.3353e-09,0.00023436,7.3748e-06,0.48979,0,0,S
178,8.15,69.946,0.198,11.173,0.518,2458600.5,0.1114579758047993,2.97611085474428,2.644399563103791,7.82076036635154,251.8829385429337,103.3074024865455,271.6232100246839,3.307822146384768,0.1919686974475527,2459060.870837279,1875.305738834608,1.65329,2.16504,3.238,4.6715e-08,1.5021e-08,1.3755e-07,4.9649e-06,3.7124e-05,4.3479e-05,2.4428e-05,1.6695e-08,1.4533e-09,0.00012874,1.4197e-05,0.5146,0,0,S
179,10.31,23.44,0.242,23.866,0.414,2458600.5,0.1667281131447537,2.722264508157134,2.268386483231164,0.8673389132369671,311.8693673629311,176.2069880946228,161.0972662771881,3.176142533083104,0.2194363608829638,2457866.358832014,1640.566761823059,1.28384,1.88386,3.338,3.7717e-08,1.0182e-08,1.0206e-07,4.4314e-06,0.00030733,0.00030766,1.4751e-05,1.188e-08,1.2311e-09,6.6133e-05,9.2043e-06,0.48112,0,0,S
180,7.84,115.383,0.101,52.23,1.464,2458600.5,0.2062531256158425,3.125567381832595,2.480909340006697,18.88803879729597,143.0211913590995,318.8889881198381,210.552256076982,3.770225423658493,0.1783654668696518,2459438.373757437,2018.327910206326,1.52686,1.4654,3.1,3.6999e-08,1.3316e-08,1.1406e-07,4.5394e-06,1.2336e-05,1.597e-05,1.1164e-05,1.6063e-08,1.1399e-09,6.5063e-05,1.2899e-05,0.4398,0,0,X
181,9.12,39.52,0.196,80.088,0.387,2458600.5,0.1862693280256597,2.415649161953775,1.965687815810898,2.005404701225497,107.1845156203241,310.8520579779687,282.0850277958082,2.865610508096653,0.2625144926845285,2458897.3025551937,1371.352858726252,0.97826,2.47264,3.492,3.7759e-08,7.161e-09,9.0329e-08,4.3465e-06,0.00012976,0.00013038,1.426e-05,8.4949e-09,1.1673e-09,5.4825e-05,6.0979e-06,0.52991,0,0,S
182,9.68,32.927,0.227,11.77,0.168,2458600.5,0.3504956178830447,2.790981912835366,1.812754982795732,26.3879728718998,141.9401494829365,264.1196253372498,146.2074605486137,3.769208842874999,0.211382261949022,2457908.826729024,1703.07572963156,1.00951,2.42873,3.093,3.7114e-08,1.0127e-08,1.0276e-07,5.4036e-06,1.0203e-05,1.2441e-05,9.0326e-06,1.3677e-08,1.1505e-09,4.0591e-05,9.2695e-06,0.41898,0,0,S
183,8.31,62.483,0.215,6.4416,0.32,2458600.5,0.06632124172869035,3.188001805466953,2.976569567095078,1.143015620702208,331.5646994535267,210.2318892547235,291.7998730756871,3.399434043838827,0.1731514911141842,2458994.375481438,2079.104243824266,1.97954,1.56507,3.194,4.1565e-08,1.7684e-08,1.3042e-07,4.6329e-06,0.00022713,0.00022987,3.7312e-05,1.8857e-08,1.4407e-09,0.00021656,1.7299e-05,0.48425,0,0,X
184,7.62,160.464,0.062,21.797,2.016,2458600.5,0.1290539581572946,2.737506637567718,2.384220570507737,23.23752543642522,153.8291826621968,223.7579776522882,185.3277519181344,3.090792704627698,0.217606218808967,2459403.19878792,1654.36448448212,1.41717,2.41373,3.223,3.3566e-08,7.748e-09,9.1141e-08,4.3819e-06,9.8965e-06,2.0149e-05,1.842e-05,8.7479e-09,9.2384e-10,8.6119e-05,7.0235e-06,0.43443,0,0,C
185,8.91,49.99,0.1929,19.842,1.6,2458600.5,0.1501553453996792,2.361442586877077,2.006859359603038,13.18511920819984,14.75869269120691,315.6239557915703,186.7884838007607,2.716025814151117,0.2716051416626741,2459238.232832077,1325.453552890062,1.01842,2.72227,3.5,4.7522e-08,7.8251e-09,1.1259e-07,6.5751e-06,1.8992e-05,2.7321e-05,2.0336e-05,9.0001e-09,1.35e-09,7.5459e-05,6.5882e-06,0.50411,0,0,K
186,8.16,147.294,0.044,10.67,1.389,2458600.5,0.2415669469614036,2.726894086947587,2.068166607676554,10.58578575807176,21.6905344655987,196.8289740454411,76.3474439369721,3.38562156621862,0.2188777766935419,2458251.686862868,1644.753548936346,1.06396,1.6038,3.289,3.6311e-08,8.6752e-09,9.8484e-08,3.4082e-06,1.819e-05,1.9381e-05,8.1635e-06,1.0771e-08,1.0445e-09,3.6749e-05,7.8488e-06,0.48886,0,0,C
187,9.22,35.752,0.242,11.98,0.371,2458600.5,0.1790896480158875,2.761107143841276,2.266621437316589,11.70476574157169,240.8981547621034,70.14055734512523,201.4291284815968,3.255592850365962,0.2148222121570614,2459338.6493278844,1675.804361128149,1.28314,2.07668,3.288,4.372e-08,1.1137e-08,1.2119e-07,5.1466e-06,2.2384e-05,2.5904e-05,1.3888e-05,1.3132e-08,1.2998e-09,6.6047e-05,1.0139e-05,0.49504,0,0,S
188,9.33,38.49,0.17,22.346,0.317,2458600.5,0.03637042495055368,2.451427595388511,2.362268132008717,5.176069707725847,203.4149270339574,167.2211975411356,234.7349059595741,2.540587058768305,0.2567884394571722,2459088.314382552,1401.93227063106,1.36098,2.59589,3.489,4.5074e-08,7.5412e-09,1.1036e-07,4.7865e-06,4.9924e-05,8.0077e-05,6.3075e-05,7.8154e-09,1.1849e-09,0.0002459,6.469e-06,0.51061,0,0,S
190,9.07,94.536,0.046,17.604,0.433,2458600.5,0.0908340763861364,2.893762682848601,2.630910422271381,11.50794039093092,159.3000503265697,226.60289736,166.8527025573417,3.156614943425822,0.2002210369167073,2457767.157484514,1798.012863901816,1.64621,2.29207,3.254,3.7359e-08,1.2307e-08,1.0661e-07,4.6286e-06,2.1262e-05,3.4568e-05,2.642e-05,1.3425e-08,1.2773e-09,0.00013146,1.147e-05,0.51259,0,0,C
191,7.13,98.776,0.327,13.625,1.237,2458600.5,0.2450421193023936,2.403100507671406,1.814239666374947,6.797988736521992,343.1085373703031,30.67497151395757,358.1932456629266,2.991961348967866,0.2645733955483433,2458607.328934305,1360.681028619222,0.817303,2.48858,3.474,2.6881e-08,3.274e-09,6.4349e-08,3.5125e-06,2.9882e-05,3.0818e-05,8.6172e-06,4.0763e-09,5.4069e-10,3.2579e-05,2.7807e-06,0.50545,0,0,S
192,9.68,26.302,0.343,6.581,0.202,2458600.5,0.2965189509581986,2.603086659539664,1.831222133999681,11.98025943570953,349.6440221168573,82.11878684442335,205.5823326771268,3.374951185079647,0.2346773276857602,2459258.499939089,1534.021217772049,0.889542,2.1286,3.32,4.4294e-08,7.9635e-09,1.1338e-07,4.6352e-06,2.3461e-05,2.4477e-05,6.8483e-06,1.0325e-08,1.0769e-09,2.9841e-05,7.0394e-06,0.42394,0,0,S
193,7.68,161.667,0.057,15.679,1.252,2458600.5,0.2383234320876714,2.61539483771265,1.992084963724593,18.50864761903857,159.3029114057221,163.0771439107671,275.5474071719145,3.238704711700707,0.2330226734709483,2458962.9222122687,1544.914040499507,0.985887,2.16733,3.295,3.0155e-08,6.2718e-09,7.8311e-08,3.5863e-06,1.0654e-05,1.3011e-05,9.2348e-06,7.7665e-09,8.3819e-10,4.0295e-05,5.5571e-06,0.47811,0,0,C
194,9.01,93.109,0.051,16.521,0.719,2458600.5,0.0436285458921422,2.877853698125862,2.752297125986307,6.969876139519078,6.986836754809441,118.5996299341069,316.0449638869039,3.003410270265418,0.2018835840085578,2458818.22466706,1783.205909326138,1.77542,2.00949,3.283,3.7838e-08,1.1807e-08,1.0936e-07,5.0841e-06,3.4077e-05,6.7199e-05,5.8978e-05,1.2322e-08,1.2424e-09,0.00029248,1.0974e-05,0.45181,0,0,C
195,6.54,144.626,0.342,8.334,4.085,2458600.5,0.01590650437091717,3.113336502763719,3.063814202074372,7.263021012745551,72.32194220359341,199.7515411875772,91.81945699503945,3.162858803453066,0.1794175733384571,2458088.7359888917,2006.492414881169,2.04839,1.84598,3.206,3.8858e-08,8.1016e-09,1.2117e-07,4.2511e-06,3.1738e-05,0.00013147,0.00012745,8.2304e-09,7.0033e-10,0.00071019,7.832e-06,0.49611,0,0,S
196,9.18,31.729,0.373,6.6084,0.449,2458600.5,0.1644326599870138,2.737722818633454,2.28755177325841,8.79543575722884,81.60526752909506,246.2647224255295,238.0929220472023,3.187893864008498,0.2175804447886938,2459160.7850847705,1654.56045624697,1.29195,2.17555,3.315,3.8622e-08,9.0204e-09,1.0569e-07,4.5834e-06,2.8089e-05,3.1205e-05,1.5017e-05,1.0504e-08,1.0753e-09,7.0287e-05,8.1773e-06,0.45808,0,0,S
197,8.33,54.323,0.268,10.379,0.343,2458600.5,0.2269016034771081,2.459168426101979,1.901179166999164,9.321123836629123,268.2600876321358,89.1496217045904,26.11132438945896,3.017157685204794,0.2555769379836924,2458498.333800673,1408.577795947186,0.923875,2.53284,3.437,3.4907e-08,5.5771e-09,8.5605e-08,4.6079e-06,2.5391e-05,2.7718e-05,1.2287e-05,6.8426e-09,8.6943e-10,4.7883e-05,4.7917e-06,0.44626,0,0,S
198,8.5,76.129,0.107,5.2201,0.594,2458600.5,0.1803174468637689,3.165695988600399,2.5948657703891,15.48102145530022,88.58145865394958,180.2850532103444,261.3481709785813,3.736526206811698,0.1749847756480796,2459164.2737834966,2057.32183652373,1.57836,1.37841,3.122,4.6422e-08,1.6728e-08,1.4932e-07,5.4752e-06,1.7822e-05,2.2635e-05,1.7444e-05,1.9744e-08,1.387e-09,0.00010216,1.6307e-05,0.45913,0,0,X
199,8.26,128.301,0.053,37.394,1.946,2458600.5,0.1318925907377906,2.74022963995327,2.37881365352335,6.892692408128553,324.3129563607756,86.1893956937912,227.007675952333,3.10164562638319,0.217281942141255,2459212.572603628,1656.833496848827,1.40089,2.28207,3.327,3.8902e-08,9.9713e-09,1.0496e-07,4.1141e-06,3.6083e-05,3.9785e-05,1.776e-05,1.1286e-08,1.186e-09,8.3334e-05,9.0434e-06,0.48217,0,0,C
200,8.43,85.877,0.04,3.7474,3.141,2458600.5,0.1797542866973592,2.67982143696437,2.198112046086547,5.754213922835086,156.9458216472372,180.6083876735859,304.5168589359911,3.161530827842192,0.2246701051467759,2458847.4538215944,1602.349363591626,1.18797,2.22565,3.346,3.2074e-08,8.2874e-09,8.2834e-08,2.9883e-06,3.679e-05,3.8716e-05,1.4254e-05,9.7771e-09,1.0422e-09,6.426e-05,7.433e-06,0.47324,0,0,X
204,9.23,76.983,0.061,14.911,0.601,2458600.5,0.036161307851643,2.777709295141144,2.677263694197175,10.69505594971437,211.7902951450707,176.7311681514312,51.89042074690679,2.878154896085113,0.212899129511994,2458356.767576735,1690.941624914999,1.68139,2.28894,3.308,3.8282e-08,1.1883e-08,1.075e-07,4.2866e-06,2.4111e-05,6.7838e-05,6.3849e-05,1.2313e-08,1.3662e-09,0.00029974,1.0851e-05,0.45457,0,0,C
206,9.92,57.88,0.058,30.098,0.149,2458600.5,0.02894852733212773,2.283614903260341,2.217507614817255,3.803284949194947,29.20562631088809,194.0498835174329,319.4262008276448,2.349722191703427,0.2856076073362051,2458742.56133916,1260.47062736751,1.20835,2.61378,3.6,4.1817e-08,6.1516e-09,9.5243e-08,4.5748e-06,5.2498e-05,8.0364e-05,6.092e-05,6.3297e-09,1.1541e-09,0.00021332,5.0932e-06,0.4572,0,0,C
207,8.96,40.056,0.206,14.085,0.593,2458600.5,0.01227706819670192,2.892140983183678,2.856633971098655,1.745379985026112,4.240067559288782,107.9311910987914,50.48369444804396,2.927647995268701,0.2003894643392549,2458348.572112401,1796.501633391903,1.87387,2.05763,3.289,4.0265e-08,1.2123e-08,1.1963e-07,4.2644e-06,0.00014486,0.00023157,0.00018062,1.2272e-08,1.26e-09,0.00090114,1.1296e-05,0.48394,0,0,S
208,8.24,179.008,0.028,5.7366,1.06,2458600.5,0.05637636378321297,3.147456337315754,2.970014193851462,7.170143597447964,0.6687489996162888,249.2125818799891,127.4628299236538,3.324898480780046,0.1765080441755704,2457878.363904056,2039.567101213315,1.96638,1.7181,3.194,4.0301e-08,1.5495e-08,1.2545e-07,5.6264e-06,3.5754e-05,6.1326e-05,4.9661e-05,1.6368e-08,1.3034e-09,0.00028081,1.5061e-05,0.48359,0,0,X
209,9.33,86.65,0.0436,6.672,2.3,2458600.5,0.1236348240058559,2.722062613036475,2.38552088094079,5.259840783590477,32.58102529919613,14.91174061907596,12.99477077005276,3.05860434513216,0.2194607746961278,2458541.2877294333,1640.384257726545,1.39508,2.31908,3.341,4.0039e-08,9.8214e-09,1.1097e-07,4.6522e-06,4.4883e-05,4.8197e-05,1.7787e-05,1.1036e-08,1.1878e-09,8.0998e-05,8.878e-06,0.46888,0,0,C
210,7.89,141.125,0.062,18.365,2.486,2458600.5,0.1607312740802165,3.040848690360428,2.552089206073639,3.886321465382877,263.6281536576311,173.3744816199297,86.06494671237151,3.529608174647218,0.1858710952228928,2458137.46433214,1936.82616206837,1.56738,1.73127,3.217,3.9364e-08,1.1681e-08,1.2157e-07,4.4411e-06,6.925e-05,7.0823e-05,1.4364e-05,1.3558e-08,1.071e-09,7.6882e-05,1.116e-05,0.51187,0,0,C
212,8.64,82.096,0.092,12.042,0.935,2458600.5,0.1447959928063532,2.752512717507375,2.353959905863782,6.801179799482402,122.0349101804645,162.0887481494723,55.5512154499008,3.151065529150968,0.2158291361838132,2458343.114846021,1667.986104032785,1.33801,2.01061,3.32,4.2689e-08,9.46e-09,1.1843e-07,4.829e-06,3.455e-05,3.7457e-05,1.5884e-05,1.083e-08,1.1127e-09,7.3152e-05,8.5989e-06,0.49789,0,0,B
213,9.2,24.957,1.0,6.835,0.152,2458600.5,0.03109385446851652,2.610787655190199,2.529608203791515,3.435962458682718,341.9802330135603,131.2326091443839,40.97609621243685,2.691967106588882,0.2336397582089522,2458425.1184787787,1540.833643895657,1.54778,2.32265,3.406,4.0117e-08,9.6152e-09,1.074e-07,5.0307e-06,7.7402e-05,0.00011848,8.8764e-05,9.9142e-09,1.2907e-09,0.00037988,8.5121e-06,0.48177,0,0,X
215,7.3,122.0,0.1164,5.385,30.0,2458600.5,0.250909089818341,2.793772624798625,2.092789678351004,13.11298710792375,215.3550169614194,180.0566265312765,70.69627545793404,3.494755571246245,0.2110656150274264,2458265.550721555,1705.630734561955,1.09911,1.93797,3.244,2.059e-08,5.9127e-09,5.6889e-08,2.6154e-06,1.3326e-05,1.4233e-05,7.0126e-06,7.3962e-09,6.7004e-10,3.2544e-05,5.4146e-06,0.39913,0,0,X
220,7.67,95.469,0.166,10.443,1.684,2458600.5,0.1042782091262035,3.010967448549446,2.696989155277415,10.87905057782517,141.8202057126269,192.9950496831864,255.9147769583338,3.324945741821476,0.1886448629578748,2459152.2522259005,1908.347751194208,1.68681,2.03053,3.214,4.4623e-08,1.3997e-08,1.3477e-07,5.1574e-06,2.5248e-05,3.533e-05,2.6856e-05,1.5457e-08,1.3155e-09,0.00014391,1.3307e-05,0.4901,0,0,K
225,9.9,31.494,0.352,11.147,0.31,2458600.5,0.2038638005006832,2.711776062787604,2.158943088520944,15.96935563667564,134.9498675426866,154.1623265222591,235.4244474396929,3.264609037054265,0.2207106753413619,2459164.929211988,1631.094642083835,1.15262,2.02264,3.278,3.8284e-08,9.2204e-09,1.0344e-07,4.4449e-06,1.6042e-05,1.9385e-05,1.2196e-05,1.11e-08,1.1257e-09,5.6414e-05,8.319e-06,0.43224,0,0,S
